FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.jxpath.ri.Compiler.FUNCTION_TRANSLATE,Field,No Comment,int FUNCTION_TRANSLATE = 17;,int FUNCTION_TRANSLATE,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_BOOLEAN,Field,No Comment,int FUNCTION_BOOLEAN = 18;,int FUNCTION_BOOLEAN,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_NOT,Field,No Comment,int FUNCTION_NOT = 19;,int FUNCTION_NOT,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_TRUE,Field,No Comment,int FUNCTION_TRUE = 20;,int FUNCTION_TRUE,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_FALSE,Field,No Comment,int FUNCTION_FALSE = 21;,int FUNCTION_FALSE,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_LANG,Field,No Comment,int FUNCTION_LANG = 22;,int FUNCTION_LANG,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_NUMBER,Field,No Comment,int FUNCTION_NUMBER = 23;,int FUNCTION_NUMBER,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_SUM,Field,No Comment,int FUNCTION_SUM = 24;,int FUNCTION_SUM,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_FLOOR,Field,No Comment,int FUNCTION_FLOOR = 25;,int FUNCTION_FLOOR,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_CEILING,Field,No Comment,int FUNCTION_CEILING = 26;,int FUNCTION_CEILING,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_ROUND,Field,No Comment,int FUNCTION_ROUND = 27;,int FUNCTION_ROUND,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_NULL,Field,No Comment,int FUNCTION_NULL = 28;,int FUNCTION_NULL,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_KEY,Field,No Comment,int FUNCTION_KEY = 29;,int FUNCTION_KEY,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_FORMAT_NUMBER,Field,No Comment,int FUNCTION_FORMAT_NUMBER = 30;,int FUNCTION_FORMAT_NUMBER,default
org.apache.commons.jxpath.ri.Compiler.FUNCTION_ENDS_WITH,Field,No Comment,int FUNCTION_ENDS_WITH = 31;,int FUNCTION_ENDS_WITH,default
org.apache.commons.jxpath.ri.parser.TokenMgrError.serialVersionUID,Field,*,private static final long serialVersionUID = 1L;,long serialVersionUID,"private , static , final "
org.apache.commons.jxpath.ri.parser.TokenMgrError.LEXICAL_ERROR,Field,* Lexical error occurred.,static final int LEXICAL_ERROR = 0;,int LEXICAL_ERROR,"static , final "
